Date,Open,High,Low,Close,Adj Close,Volume
03/01/2017,4900.850098,4928.490234,4884.52002,4911.330078,4911.330078,1886200000
04/01/2017,4920.790039,4944.740234,4919.799805,4937.209961,4937.209961,1883360000
05/01/2017,4936.350098,4967.899902,4935.339844,4964.950195,4964.950195,1792610000
06/01/2017,4973.870117,5020.700195,4957.819824,5007.080078,5007.080078,1710770000
09/01/2017,5013.819824,5033.319824,5009.450195,5024.899902,5024.899902,1885500000
10/01/2017,5027.5,5049.830078,5016.189941,5035.169922,5035.169922,1796500000
11/01/2017,5033.879883,5050.209961,5012.649902,5050.209961,5050.209961,1954720000
12/01/2017,5029.279785,5044.370117,4995.069824,5041.430176,5041.430176,1801750000
13/01/2017,5047.560059,5066.950195,5045.919922,5059.509766,5059.509766,1605110000
17/01/2017,5043.069824,5053.200195,5029.609863,5044.649902,5044.649902,1757030000
18/01/2017,5050.259766,5058.200195,5039.180176,5055.850098,5055.850098,1683320000
19/01/2017,5061.100098,5078.410156,5041.209961,5051.169922,5051.169922,1805710000
20/01/2017,5070.149902,5085.339844,5050.02002,5063.200195,5063.200195,1740320000
23/01/2017,5055.970215,5073.240234,5035.490234,5065.700195,5065.700195,1650290000
24/01/2017,5079.609863,5108.220215,5068.370117,5101.060059,5101.060059,1805370000
25/01/2017,5132.870117,5153.180176,5129,5151.470215,5151.470215,1959950000
26/01/2017,5164.120117,5168.200195,5148.850098,5156.919922,5156.919922,1827490000
27/01/2017,5169.490234,5172.430176,5150.180176,5168.060059,5168.060059,1663400000
30/01/2017,5146.410156,5146.879883,5098.339844,5129.330078,5129.330078,1777090000
31/01/2017,5107.470215,5116.799805,5086.330078,5116.77002,5116.77002,2041480000
01/02/2017,5157.830078,5162.459961,5128.899902,5152.689941,5152.689941,2223560000
02/02/2017,5141.27002,5162.560059,5128.759766,5147.700195,5147.700195,2073980000
03/02/2017,5153.609863,5165.470215,5147.580078,5161.600098,5161.600098,1786860000
06/02/2017,5154.180176,5167.959961,5148.060059,5167.959961,5167.959961,1732280000
07/02/2017,5178.850098,5196.27002,5174.339844,5185.879883,5185.879883,1919100000
08/02/2017,5176.5,5201.569824,5168.97998,5196.580078,5196.580078,1945060000
09/02/2017,5200.169922,5221.620117,5196.069824,5212.160156,5212.160156,1943840000
10/02/2017,5219.810059,5234.27002,5212.839844,5226.689941,5226.689941,1852010000
13/02/2017,5242.490234,5262.419922,5241,5256.819824,5256.819824,1840010000
14/02/2017,5251.359863,5271.100098,5238.689941,5271.069824,5271.069824,1945160000
15/02/2017,5266.120117,5304.339844,5264.439941,5302.390137,5302.390137,2083660000
16/02/2017,5306.379883,5316.790039,5287.540039,5300.640137,5300.640137,1943600000
17/02/2017,5295.490234,5324.720215,5291.700195,5324.720215,5324.720215,1875580000
21/02/2017,5334.569824,5353.160156,5330.470215,5350.72998,5350.72998,1935110000
22/02/2017,5345.180176,5354.72998,5335.799805,5352.129883,5352.129883,1872330000
23/02/2017,5358.029785,5358.529785,5309.990234,5332.370117,5332.370117,1879670000
24/02/2017,5305.22998,5343.310059,5304.009766,5343.310059,5343.310059,1683280000
27/02/2017,5330.560059,5347.879883,5322.140137,5347.549805,5347.549805,1876090000
28/02/2017,5344.180176,5347.470215,5316.700195,5330.310059,5330.310059,2298380000
01/03/2017,5368.649902,5398.430176,5355.379883,5390.990234,5390.990234,2210360000
02/03/2017,5386.339844,5387.72998,5355.529785,5363.259766,5363.259766,2040770000
03/03/2017,5355.209961,5373.47998,5344.47998,5373.47998,5373.47998,1852130000
06/03/2017,5352.609863,5368.27002,5338.609863,5360.310059,5360.310059,1767840000
07/03/2017,5348.200195,5373.259766,5341.430176,5351.279785,5351.279785,1822000000
08/03/2017,5351.350098,5375.77002,5348.72998,5359.810059,5359.810059,1810480000
09/03/2017,5355.779785,5370.660156,5336.080078,5363.97998,5363.97998,1883930000
10/03/2017,5390.459961,5394.660156,5364.100098,5385.899902,5385.899902,1982150000
13/03/2017,5387.72998,5396.390137,5382.02002,5394.569824,5394.569824,1799340000
14/03/2017,5382.790039,5384.879883,5360.700195,5382.169922,5382.169922,1663170000
15/03/2017,5392.47998,5426.839844,5375.879883,5416.25,5416.25,1952690000
16/03/2017,5421.459961,5423.660156,5399.27002,5412.080078,5412.080078,1766980000
17/03/2017,5413.470215,5423.279785,5406.810059,5408.759766,5408.759766,3184130000
20/03/2017,5406.02002,5426.470215,5400.160156,5413.310059,5413.310059,1730550000
21/03/2017,5433.279785,5439.580078,5328.709961,5332.529785,5332.529785,2192090000
22/03/2017,5332.640137,5372.27002,5327.25,5367.549805,5367.549805,1857680000
23/03/2017,5356.709961,5375.430176,5346.299805,5355.140137,5355.140137,1742640000
24/03/2017,5376.740234,5392.279785,5345.939941,5364,5364,1841920000
27/03/2017,5320.959961,5383.220215,5316.02002,5374.27002,5374.27002,1670760000
28/03/2017,5371.899902,5422.25,5363.290039,5407.209961,5407.209961,1820860000
29/03/2017,5410.140137,5433.359863,5405.100098,5430.27002,5430.27002,1718680000
30/03/2017,5430.310059,5446.509766,5425.299805,5439.740234,5439.740234,1723770000
31/03/2017,5430.990234,5451.5,5427.5,5436.22998,5436.22998,1902800000
03/04/2017,5440.200195,5453.439941,5403.310059,5432.200195,5432.200195,1854200000
04/04/2017,5415.529785,5441.339844,5415.299805,5440.410156,5440.410156,1790840000
05/04/2017,5447.27002,5479.859863,5409.040039,5418.52002,5418.52002,2204490000
06/04/2017,5423.649902,5435.060059,5407.870117,5420.879883,5420.879883,1845800000
07/04/2017,5420.939941,5434.180176,5400.080078,5418.370117,5418.370117,1692150000
10/04/2017,5423.569824,5442.709961,5406.580078,5421.680176,5421.680176,1630070000
11/04/2017,5413.910156,5422.790039,5359.140137,5398.399902,5398.399902,1821650000
12/04/2017,5394.609863,5399.549805,5370.240234,5377.029785,5377.029785,1658960000
13/04/2017,5370.689941,5398.990234,5353.589844,5353.589844,5353.589844,1581870000
17/04/2017,5369.209961,5399.200195,5367.589844,5399.200195,5399.200195,1381290000
18/04/2017,5383.740234,5405.540039,5377.910156,5391.660156,5391.660156,1608870000
19/04/2017,5416.299805,5431,5392.279785,5399.640137,5399.640137,1752620000
20/04/2017,5422.470215,5455.879883,5413.319824,5443.529785,5443.529785,1749110000
21/04/2017,5447.279785,5450.810059,5430.220215,5442.049805,5442.049805,1723210000
24/04/2017,5503.27002,5513.569824,5494.459961,5508.029785,5508.029785,1836570000
25/04/2017,5523.47998,5557.930176,5521.52002,5548.189941,5548.189941,1895430000
26/04/2017,5553.600098,5563.970215,5537.990234,5541.089844,5541.089844,1894210000
27/04/2017,5555.27002,5573.259766,5551.549805,5571.279785,5571.279785,1876700000
28/04/2017,5598.470215,5600,5575.209961,5583.529785,5583.529785,1995160000
01/05/2017,5602.439941,5640.47998,5600.310059,5629.629883,5629.629883,1757000000
02/05/2017,5642.410156,5645.080078,5625.490234,5644.069824,5644.069824,2146730000
03/05/2017,5624.879883,5629.779785,5608.160156,5625.160156,5625.160156,2149360000
04/05/2017,5623.569824,5633.490234,5606.049805,5626.319824,5626.319824,2056270000
05/05/2017,5640.779785,5646.089844,5619.600098,5646.089844,5646.089844,1899570000
08/05/2017,5649.180176,5659.069824,5638,5659.069824,5659.069824,1909710000
09/05/2017,5667.97998,5691.209961,5664,5678.310059,5678.310059,1997490000
10/05/2017,5681.330078,5683.640137,5661.439941,5681.680176,5681.680176,2108000000
11/05/2017,5662.589844,5675.5,5637.399902,5674.220215,5674.220215,1950910000
12/05/2017,5683.580078,5687.419922,5672.040039,5686.810059,5686.810059,1740960000
15/05/2017,5687.970215,5706.609863,5683.100098,5704.47998,5704.47998,1850790000
16/05/2017,5715.149902,5724.709961,5699.410156,5724.439941,5724.439941,1999330000
17/05/2017,5673.620117,5688.740234,5578.160156,5580.549805,5580.549805,2347480000
18/05/2017,5569.810059,5645.080078,5568.470215,5626.310059,5626.310059,2131520000
19/05/2017,5640.709961,5673.629883,5640.680176,5651.560059,5651.560059,1905520000
